hashtag,tweet_id
ThingsDoneByMistake,8.362278918976512e+17
TheOlderWeGet,7.651989482398106e+17
Blacklivesmatter,7.766933029261476e+17
WakeUpAmerica,7.775946478750597e+17
BernieSanders,7.180400616490312e+17
My4WordNewYearsResolution,8.115808685736919e+17
TVLifeLessonsILearned,8.006559983357747e+17
My911Story,6.423626850703073e+17
teapartynews,6.747523977683968e+17
TrumpBecause,6.31862763459969e+17
debates,7.890078108308316e+17
Politics,7.562034178197668e+17
AfricanAmericans,7.962405608226447e+17
Hillary,7.962405608226447e+17
FEMININEAMERICA4TRUMP,7.772381191667753e+17
maga,7.772381191667753e+17
FL4Trump,7.772381191667753e+17
LGBT4Trump,7.772381191667753e+17
ConspiracySongs,8.567986211777208e+17
RealLifeMagicSpells,7.981670298282516e+17
BlackPantherSoLit,8.851194921662259e+17
RogueOne,8.11147938768425e+17
HowToConfuseAMillennial,7.7252958083396e+17
Politics,7.583162066338243e+17
TrumpsFavoriteHeadline,7.65928730120319e+17
news,6.145515525865677e+17
news,5.802958584631951e+17
RAPStationRadio,8.176495671057408e+17
EarthDaySongs,8.554139507494502e+17
pjnet,7.961473196285624e+17
breaking,7.798607831109059e+17
ArtKNB,8.45517886995288e+17
Politics,7.715169657393766e+17
MakeTVShowsAustralian,8.29281703936086e+17
RT,6.955699510007603e+17
God,8.382274255154381e+17
LesDeplorables,7.772222793737503e+17
Trump,7.772222793737503e+17
Fiverr,8.597745359518188e+17
NH,7.842343111594598e+17
ProblematicKidsShows,8.579625097010627e+17
Miami,7.693043273453036e+17
Fameviews,8.332921527383122e+17
crackup,7.768555464062403e+17
p2,8.528319314189107e+17
UnlikelyThingsHeardAtWalmart,7.832202261878579e+17
MichelleObama,7.78619917465686e+17
blackgirlsmagic,7.78619917465686e+17
HackingHillary,7.729266933003305e+17
ThingsYouCantIgnore,8.108492138064732e+17
sports,5.946354178334843e+17
IfICouldntLie,7.735281928964055e+17
ThingsYouCantIgnore,8.108559044847165e+17
Politics,7.86145284845736e+17
OffendEveryoneIn4Words,8.521090237552845e+17
Politics,5.909868045279232e+17
WakeUpAmerica,6.95610265900077e+17
IHaveARightToKnow,7.811439198201528e+17
DrunkBands,8.245744503309599e+17
Trump,7.815516194521825e+17
TrumpPence16,7.815516194521825e+17
debatenight,7.815516194521825e+17
Trump,7.841819010619187e+17
nowplaying,8.44576101573759e+17
MerkelMussBleiben,7.56086297110995e+17
AddASongRuinAMovie,8.06039644248961e+17
RenameMillionWomenMarch,8.220866757194875e+17
Islamophobic,7.607790004027187e+17
pets,8.107664950934979e+17
FightClub,5.648406708298998e+17
ItsRiskyTo,8.242751272191877e+17
RejectedDebateTopics,7.887613031585219e+17
WeedsIllegalBut,7.611308538166436e+17
hooks,8.973966501041111e+17
BeUnclassyIn4Words,7.857434590385644e+17
Democrat,7.816023142306243e+17
BasketOfDeplorables,7.760331758605435e+17
redeye,7.760331758605435e+17
ToDoListBeforeChristmas,8.032716361243976e+17
SachsenAnhalt,9.029128393875784e+17
GulfStatesTalks,5.984924414029783e+17
nowplaying,8.587545809513144e+17
AlternativeAcronymInterpretations,8.05797548510376e+17
CrookedHillary,7.892569481348424e+17
MyEmmyNominationWouldBe,7.778908390833111e+17
HillaryForPrison2016,8.037899032555028e+17
